AI; Seth
Ability Copier; Seth
Ability-Blocking; Ty Lee
Absurdly Strong; Gran'ma Ben, Jenkins
Abused; Gamora, Marianne, Nebula, Pearl
Abusive Childhood; Azula, Penny, Zuko
Abusive Parent; Ozai
Accident-Prone; Augustin Madrigal, Jar Jar Binks
Accidental Adventurer; Devahi, Dipper Pines, Fone Bone, Fuzzy, Mabel Pines, Phoney Bone, Sam (Sam and Fuzzy), Smiley Bone
Accidental Time Travel; Dana Franklin
Accuser; Ronan the Accuser
Acrobat; Dick Grayson, Ty Lee
Adopted; Ashe, Nadia Van Dyne, Terrence the Baby Tarrasque, The Child, The Mandalorian
Adoptive Father Figure; Alois, Obi-Wan Kenobi, Qui-Gon Jinn
Adoptive Mother; Garnet, Pearl, Toriel
African American; Barret Wallace, Black Lightning, Black Panther, Blue Marvel, Dana Franklin, Falcon, Greef Karga, Ironheart, John Stewart, Mace Windu, Moff Gideon, Thomas Jefferson Jr., War Machine
Against Programming; Bastion
Agartharian; Kronya, Solon, Thales
Air Force; Guile
Alcoholic; Demoman, Shane
Alien; Adam Warlock, Amethyst (Steven Universe), Bismuth, Chewbacca, Garnet, Kal-L, Lapis Lazuli, Martian Manhunter, Miss Martian, Omega (Edge of Tomorrow), Pearl, Peridot, Ruby, Sapphire, Superboy Prime, Supergirl, Superman
Alien Technology; Cyborg, Dr. Samuel Hayden, Nebula, VEGA, Yondu
Allergies; Barry Wheeler
Alpha Flight; Aurora, Carol Danvers, Northstar, Wolverine
Amazon; Hippolyta, Wonder Woman
American Stereotype; Quincey Morris
Amnesiac; Bobby
Android; Iron Lad, Vision, Viv Vision
Angel; Dr. Samuel Hayden
Anger Issues; Sunfire
Angsty; Dimitri, Felix
Animal-Person; Blake Belladonna
Animal-Speaker; Anthonio Madrigal
Animal-Themed; Batman, Blake Belladonna, Hawkgirl
Animorphic; Banjo, Cowardly Lion, Dyan, Isabelle, Kazooie, Pan, Rocket Raccoon, Uka, Yekkon Shmekkon
Anti-Matter; Anti-Monitor
Antihero; Amanda Waller, Damian Wayne, Jason Todd, Loki, Magneto, Nebula, Wolverine
Antisocial; Sherlock Holmes
Antivillain; Sombra
Anxious; Lapis Lazuli
Apples; Applejack
Apprentice; Ahsoka Tano, Anakin Skywalker, Cal Kestis, Obi-Wan Kenobi
Archer; Akkar, Apollo, Ashe, Atreus, Bard the Bowman, Bernadetta, Bow, Claude, Frank Zhang, Green Arrow, Hawkeye, Shamir
Architect; John Stewart
Armor Suit; Iron Lad, Iron Man, Ironheart, War Machine
Armorer; Bismuth
Arranged Marriage; Samirah al-Abbas
Arrogant; Lorenz, Sunfire
Artificer; Arrolys Larskano, Bismuth, Blitzen, Byllemura Ruby-Eye, Eldon Spark Turen, Engineer, Lorana Ritten
Artificial; Atomic Robo, Dr. Samuel Hayden, Drax the Destroyer, Scarecrow (Oz), the Icon of Sin, Tin Woodman, Ultron, VEGA, Vision, Viv Vision
Artificial Intelligence; Dr. Samuel Hayden, VEGA
Artist; Alex Fierro, Bernadetta, Ignatz, Leah, Rumy
Asgardian; Loki, Thor
Assassin; Anton Chigurh, Aphelios, Araithia Shokta, Black Widow, Bucky Barnes, Damian Wayne, Gamora, Nebula, Sniper, Spy, Zulen Kal-Thim
Assistant; Dedue, Hubert, John Watson
Astral Captain; Captain Kirk, Yondu
Astromech; BB-8, R2-D2
Astronaut; Beth Johanssen, Bill Kerman, Bob Kerman, Dr. Chris Beck, Jebediah Kerman, Valentina Kerman
Augumented; the Icon of Sin
Aunt Uncle; Dipper Pines|Grunkle Stan, Grunkle Stan|Mabel Pines, Grunkle Stan|Dipper Pines, Iris West|Wally West, Iris West|Wally West II, Mabel Pines|Grunkle Stan, Stanford Pines|Mabel Pines, Stanford Pines|Dipper Pines, Wally West II|Iris West, Wally West|Iris West
Australian; Captain Boomerang, Sniper
Author; Alan Wake, Seteth, Stanford Pines
Avengers; Agent Venom, Black Panther, Captain America, Carol Danvers, Falcon, Hank Pym, Hawkeye, Hulk, Iron Man, Miles Morales, Monica Rambeau, Mr. Fantastic, Ms. Marvel, Quicksilver, Sam Alexander, Scarlet Witch, Scott Lang, Spider-Man, The Human Torch, The Invisible Woman, The Thing, Thor, Vision, War Machine
Avengers Founders; Hank Pym, Hulk, Iron Man, Janet van Dyne, Thor
Avengers Wave #2; Captain America, Hawkeye, Quicksilver, Scarlet Witch
Axe; Alois, Caspar, Edelgard, Hilda, Kratos
Baby; Noi
Bad Jokes; Alois, Sans, Toriel
Bad Rumors; Bruno Madrigal
Band of Fools; Akkar, Arthail Consumer of Food, Byllemura Ruby-Eye, Glynnric Manassnass, Kalathos Sunstrider, Kareem Par-Al, Nahara, Ruby Rider
